1'比赛开始了                   1'有不小的保级压力的权健，第1分钟踢的非常主动
88'位置很远啊，打门很难，估计还是要传的吧                   86'第86分钟申花获得离门36米的任意球机会，瓜林怒射被人墙挡出，瓜林再射被朱建荣禁区内钩到，但朱建荣还想再射时，张鹭已经出击到位，朱建荣一脚射门正好踢在张鹭身上，虽然没对张鹭造成多大伤害，但朱建荣还是吃到黄牌
88'任意球开出，瓜林36米开外选择直接射                   86'第86分钟申花获得离门36米的任意球机会，瓜林怒射被人墙挡出，瓜林再射被朱建荣禁区内钩到，但朱建荣还想再射时，张鹭已经出击到位，朱建荣一脚射门正好踢在张鹭身上，虽然没对张鹭造成多大伤害，但朱建荣还是吃到黄牌
88'击中人墙，弹到了禁区内                   86'第86分钟申花获得离门36米的任意球机会，瓜林怒射被人墙挡出，瓜林再射被朱建荣禁区内钩到，但朱建荣还想再射时，张鹭已经出击到位，朱建荣一脚射门正好踢在张鹭身上，虽然没对张鹭造成多大伤害，但朱建荣还是吃到黄牌
89'朱建荣门前跟进包抄                   86'第86分钟申花获得离门36米的任意球机会，瓜林怒射被人墙挡出，瓜林再射被朱建荣禁区内钩到，但朱建荣还想再射时，张鹭已经出击到位，朱建荣一脚射门正好踢在张鹭身上，虽然没对张鹭造成多大伤害，但朱建荣还是吃到黄牌
89'张鹭出击更快，把球拿住                   86'第86分钟申花获得离门36米的任意球机会，瓜林怒射被人墙挡出，瓜林再射被朱建荣禁区内钩到，但朱建荣还想再射时，张鹭已经出击到位，朱建荣一脚射门正好踢在张鹭身上，虽然没对张鹭造成多大伤害，但朱建荣还是吃到黄牌
93'左侧权健角球机会                   93'两队进球：第一球：下半场第48分钟，杨旭接王永珀禁区外送球，头球首开纪录
93'开起来，到禁区中路                   93'两队进球：第一球：下半场第48分钟，杨旭接王永珀禁区外送球，头球首开纪录
93'被解围出去                   93'两队进球：第一球：下半场第48分钟，杨旭接王永珀禁区外送球，头球首开纪录
93'外围瓜林得球，，启动，反击                   93'两队进球：第一球：下半场第48分钟，杨旭接王永珀禁区外送球，头球首开纪录
93'瓜林闪过了对手刘越的拉拽，加速向前                   93'两队进球：第一球：下半场第48分钟，杨旭接王永珀禁区外送球，头球首开纪录
94'王永珀又跟进回来，，跟不上了，连续的拉拽                   93'两队进球：第一球：下半场第48分钟，杨旭接王永珀禁区外送球，头球首开纪录
94'强行拉倒了瓜林                   93'两队进球：第一球：下半场第48分钟，杨旭接王永珀禁区外送球，头球首开纪录
94'吃到了黄牌                   93'两队进球：第一球：下半场第48分钟，杨旭接王永珀禁区外送球，头球首开纪录
94'战术犯规，这张牌要吃的                   93'两队进球：第一球：下半场第48分钟，杨旭接王永珀禁区外送球，头球首开纪录
94'下半场补时4分钟                   93'两队进球：第一球：下半场第48分钟，杨旭接王永珀禁区外送球，头球首开纪录
94'申花右侧定位球                   93'两队进球：第一球：下半场第48分钟，杨旭接王永珀禁区外送球，头球首开纪录
94'瓜林送入禁区中央，，后点找朱建荣                   93'两队进球：第一球：下半场第48分钟，杨旭接王永珀禁区外送球，头球首开纪录
94'头球一蹭，，，顶偏了，，出了底线                   93'两队进球：第一球：下半场第48分钟，杨旭接王永珀禁区外送球，头球首开纪录
95'张诚好像被踩了一脚，倒地受伤                   93'两队进球：第一球：下半场第48分钟，杨旭接王永珀禁区外送球，头球首开纪录
95'不过问题不大                   93'两队进球：第一球：下半场第48分钟，杨旭接王永珀禁区外送球，头球首开纪录
95'张鹭大脚开出门球                   93'两队进球：第一球：下半场第48分钟，杨旭接王永珀禁区外送球，头球首开纪录
95'前场中路王永珀拿球                   93'两队进球：第一球：下半场第48分钟，杨旭接王永珀禁区外送球，头球首开纪录
95'分左侧郑达伦                   93'两队进球：第一球：下半场第48分钟，杨旭接王永珀禁区外送球，头球首开纪录
95'郑达伦低球向前，传出了边线                   93'两队进球：第一球：下半场第48分钟，杨旭接王永珀禁区外送球，头球首开纪录
95'主裁判哨响了                   93'两队进球：第一球：下半场第48分钟，杨旭接王永珀禁区外送球，头球首开纪录
95'全场比赛结束，最终双方1-1握手言和，各拿一分                   93'两队进球：第一球：下半场第48分钟，杨旭接王永珀禁区外送球，头球首开纪录
95'上半场双方均无建树，下半场短时间内杨旭和曹赟定分别进球，比分定格在1-1                   93'两队进球：第一球：下半场第48分钟，杨旭接王永珀禁区外送球，头球首开纪录
