1'比赛开始了，国安率先开球                   1'第1分钟国安首次进攻就在苏宁禁区内获得射门机会，于大宝在李昂封堵下将球打偏
87'低球向前给吴曦                   87'第87分钟，奥古斯托中路带球推进中被田依浓在身后伸腿放倒，裁判向田依浓出示黄牌时，奥古斯托非常愤怒地冲向田依浓进行了斥责
87'分弧顶附近，，奥古斯托直接拦截                   87'第87分钟，奥古斯托中路带球推进中被田依浓在身后伸腿放倒，裁判向田依浓出示黄牌时，奥古斯托非常愤怒地冲向田依浓进行了斥责
87'自己带球突破，，策动反击                   87'第87分钟，奥古斯托中路带球推进中被田依浓在身后伸腿放倒，裁判向田依浓出示黄牌时，奥古斯托非常愤怒地冲向田依浓进行了斥责
87'被田依浓放倒了                   87'第87分钟，奥古斯托中路带球推进中被田依浓在身后伸腿放倒，裁判向田依浓出示黄牌时，奥古斯托非常愤怒地冲向田依浓进行了斥责
87'奥古斯托和田依浓发生了争执                   87'第87分钟，奥古斯托中路带球推进中被田依浓在身后伸腿放倒，裁判向田依浓出示黄牌时，奥古斯托非常愤怒地冲向田依浓进行了斥责
88'双方火药味渐浓啊                   87'第87分钟，奥古斯托中路带球推进中被田依浓在身后伸腿放倒，裁判向田依浓出示黄牌时，奥古斯托非常愤怒地冲向田依浓进行了斥责
88'奥古斯托策动反击的时候，田依浓是身后追不上的情况下，战术犯规放倒对手                   87'第87分钟，奥古斯托中路带球推进中被田依浓在身后伸腿放倒，裁判向田依浓出示黄牌时，奥古斯托非常愤怒地冲向田依浓进行了斥责
88'肯定拿不到球的情况，所以造成奥古斯托的愤怒                   87'第87分钟，奥古斯托中路带球推进中被田依浓在身后伸腿放倒，裁判向田依浓出示黄牌时，奥古斯托非常愤怒地冲向田依浓进行了斥责
88'田依浓战术犯规，吃到黄牌                   87'第87分钟，奥古斯托中路带球推进中被田依浓在身后伸腿放倒，裁判向田依浓出示黄牌时，奥古斯托非常愤怒地冲向田依浓进行了斥责
89'杨家威替下了博阿基耶                   87'第87分钟，奥古斯托中路带球推进中被田依浓在身后伸腿放倒，裁判向田依浓出示黄牌时，奥古斯托非常愤怒地冲向田依浓进行了斥责
89'国安定位球，挑传被断                   87'第87分钟，奥古斯托中路带球推进中被田依浓在身后伸腿放倒，裁判向田依浓出示黄牌时，奥古斯托非常愤怒地冲向田依浓进行了斥责
89'谢鹏飞拿球，右路推进                   87'第87分钟，奥古斯托中路带球推进中被田依浓在身后伸腿放倒，裁判向田依浓出示黄牌时，奥古斯托非常愤怒地冲向田依浓进行了斥责
89'吉翔跟上，接球被对手放倒                   87'第87分钟，奥古斯托中路带球推进中被田依浓在身后伸腿放倒，裁判向田依浓出示黄牌时，奥古斯托非常愤怒地冲向田依浓进行了斥责
89'吉翔右路定位球，开起来                   87'第87分钟，奥古斯托中路带球推进中被田依浓在身后伸腿放倒，裁判向田依浓出示黄牌时，奥古斯托非常愤怒地冲向田依浓进行了斥责
89'吊入禁区，，，国安禁区内连续解围                   87'第87分钟，奥古斯托中路带球推进中被田依浓在身后伸腿放倒，裁判向田依浓出示黄牌时，奥古斯托非常愤怒地冲向田依浓进行了斥责
89'奥古斯托左侧拿球，快速送一个直传，被断了                   87'第87分钟，奥古斯托中路带球推进中被田依浓在身后伸腿放倒，裁判向田依浓出示黄牌时，奥古斯托非常愤怒地冲向田依浓进行了斥责
89'双方抢的人仰马翻                   87'第87分钟，奥古斯托中路带球推进中被田依浓在身后伸腿放倒，裁判向田依浓出示黄牌时，奥古斯托非常愤怒地冲向田依浓进行了斥责
90'苏宁右路的进攻，造成池忠国犯规                   87'第87分钟，奥古斯托中路带球推进中被田依浓在身后伸腿放倒，裁判向田依浓出示黄牌时，奥古斯托非常愤怒地冲向田依浓进行了斥责
90'池忠国领到黄牌                   87'第87分钟，奥古斯托中路带球推进中被田依浓在身后伸腿放倒，裁判向田依浓出示黄牌时，奥古斯托非常愤怒地冲向田依浓进行了斥责
90'下半场补时4分钟                   87'第87分钟，奥古斯托中路带球推进中被田依浓在身后伸腿放倒，裁判向田依浓出示黄牌时，奥古斯托非常愤怒地冲向田依浓进行了斥责
90'苏宁右路定位球，开到门前                   87'第87分钟，奥古斯托中路带球推进中被田依浓在身后伸腿放倒，裁判向田依浓出示黄牌时，奥古斯托非常愤怒地冲向田依浓进行了斥责
